step,scored,puck_x,puck_y,puck_vx,puck_vy
134,1,188.49,28.96,215.60,-613.67
355,0,173.24,511.78,-615.80,543.39
1039,0,143.84,507.99,-421.69,539.18
1510,1,171.32,28.93,-274.16,-735.02
1538,0,145.39,501.68,-49.65,932.04
4088,0,202.11,508.04,57.14,569.21
6939,0,121.22,503.50,256.06,765.29
7853,1,169.46,34.53,362.56,-766.30
8564,0,188.85,512.97,-621.34,658.09
9393,0,130.83,514.73,-82.19,929.11
10244,0,151.54,508.43,360.64,429.97
11108,1,176.39,24.45,738.49,-383.26
11180,0,189.40,507.37,-266.37,887.02
12054,0,152.88,499.55,322.50,875.54
12277,0,137.80,506.07,-156.35,758.97
14757,1,163.44,31.53,379.58,-575.30
14961,1,177.55,37.66,-429.26,-833.71
15269,0,117.85,510.40,675.24,515.14
16115,0,183.88,507.72,-374.31,488.65
17744,0,197.66,513.18,111.88,926.00
19811,0,186.74,512.75,-432.55,317.39
21449,1,164.97,34.11,-54.85,-932.37
21524,1,146.22,23.58,-415.16,-625.89
21774,1,198.68,25.90,-311.39,-356.12
21988,1,132.56,33.91,453.86,-698.53
22148,0,153.40,513.83,555.68,170.82
23095,0,134.03,502.15,-413.76,836.64
23267,1,128.75,38.61,-152.61,-832.46
23296,0,156.99,516.95,-3.71,932.73
24970,0,132.68,515.07,430.29,711.52
26027,0,195.13,516.86,-634.28,578.49
27715,1,130.24,30.33,-343.32,-852.53
27761,0,144.76,511.76,394.06,494.77
28448,0,162.71,516.46,-311.15,879.31
29305,1,181.53,29.77,695.57,-476.30
29498,1,138.73,38.02,-452.69,-799.89
29670,0,136.39,508.17,304.20,887.35
30555,0,161.97,516.66,-378.85,833.26
31012,1,159.55,29.48,617.36,-482.10
31579,1,157.98,28.06,378.71,-292.31
31663,1,133.43,23.50,-414.15,-25.36
31691,0,134.17,500.44,-82.51,929.71
32055,0,194.65,508.69,-477.30,416.59
32136,0,122.06,512.20,-167.29,423.50
32305,0,186.57,509.77,-531.66,748.74
32633,1,171.53,31.16,526.84,-590.31
32871,0,155.46,516.55,-468.34,338.73
32952,0,183.39,516.29,-470.63,720.46
33115,1,173.20,23.56,-711.26,-368.53
33354,1,116.48,27.54,481.25,-291.97
33402,0,126.07,516.76,348.86,473.62
33999,1,117.59,30.18,455.40,-805.08
34027,0,173.47,498.84,39.78,932.82
34113,0,188.36,502.63,-85.56,933.50
34225,1,112.39,25.07,636.38,-571.08
34349,1,135.01,28.90,697.37,-568.93
34657,0,144.92,504.55,422.33,818.82
34758,0,110.78,513.62,548.53,331.66
35134,1,125.70,26.78,-434.01,-839.38
35212,0,131.47,510.56,28.14,934.49
36232,1,178.95,24.43,-111.02,-847.01
36513,1,120.43,31.58,538.95,-500.81
