step,ep_return_mean,ep_length_mean,q_loss,pi_loss,alpha,entropy
5000,-1.9140,488.80,0.4919,-2.8406,0.0613,0.7635
10000,-2.1914,521.83,0.4603,-4.1163,0.0498,0.6128
15000,-1.4703,463.65,0.0960,-4.8321,0.0498,0.6700
20000,-1.9918,478.35,1.1151,-5.4116,0.0498,0.5571
25000,-0.4991,442.75,0.8350,-5.7049,0.0498,0.4349
30000,-0.7437,394.80,0.1530,-5.8410,0.0498,0.2720
35000,-0.6915,210.15,0.2150,-5.3165,0.0498,0.5108
40000,-1.8476,271.80,0.1232,-4.9388,0.0498,0.4518
45000,-0.7594,256.45,0.8696,-4.5240,0.0498,0.3396
50000,-4.7289,327.70,0.1176,-4.1382,0.0498,0.3192
55000,-6.6317,329.20,0.2986,-3.8564,0.0498,0.3982
60000,-2.7203,351.25,0.1632,-3.7266,0.0498,0.5786
65000,-1.3467,341.40,0.5715,-3.3405,0.0498,0.4190
70000,-1.2472,372.35,0.3076,-3.0359,0.0498,0.3657
75000,-2.7707,391.15,0.5773,-2.9408,0.0498,0.3281
80000,1.8040,328.25,0.7443,-2.8171,0.0498,0.3848
85000,0.1270,329.85,0.1524,-2.5760,0.0498,0.6209
90000,0.6461,317.60,0.1541,-2.4168,0.0498,0.5151
95000,-0.3400,391.70,0.2585,-2.4469,0.0498,0.5136
100000,0.1296,371.30,0.2496,-2.4704,0.0498,0.4792
105000,4.2975,273.75,0.3759,-2.3714,0.0498,0.4910
110000,1.1648,352.95,0.6536,-2.1763,0.0498,0.5516
115000,-0.4059,447.70,0.4627,-2.0076,0.0498,0.3823
120000,-1.3638,405.00,1.0204,-2.3392,0.0498,0.4274
125000,-1.8733,521.45,0.1734,-1.9500,0.0498,0.3668
130000,-0.8360,602.10,0.5592,-1.9163,0.0498,0.4156
135000,2.7785,516.15,0.3173,-1.9007,0.0498,0.3504
140000,2.2520,414.50,0.1595,-1.8229,0.0498,0.4321
145000,0.1291,405.10,0.2568,-1.6970,0.0498,0.2927
150000,-0.8583,446.90,0.2200,-1.8363,0.0498,0.5758
155000,0.6853,450.20,0.4480,-1.9431,0.0498,0.2030
160000,-0.3605,521.80,0.3108,-1.8678,0.0498,0.5346
165000,-1.3172,550.35,0.2477,-2.1452,0.0498,0.5095
170000,0.7980,510.85,0.3507,-1.6330,0.0498,0.5852
175000,2.2377,361.60,0.8333,-1.7616,0.0498,0.4614
180000,2.2600,387.60,0.2763,-1.6047,0.0498,0.5540
185000,1.3497,492.35,0.2167,-1.7650,0.0498,0.4583
190000,-0.7791,581.05,0.2108,-1.8523,0.0498,0.4316
195000,-3.0592,524.90,0.1833,-1.6234,0.0498,0.5071
200000,-1.4448,452.45,0.1689,-1.8867,0.0498,0.5118
205000,0.3052,432.35,0.3105,-1.7804,0.0498,0.6077
210000,0.2251,500.45,0.2821,-1.6633,0.0498,0.4364
215000,-0.4675,514.60,0.2126,-1.3851,0.0498,0.4070
220000,-1.4165,580.45,0.2403,-1.6975,0.0498,0.4585
225000,-0.9199,473.00,0.3362,-1.3627,0.0498,0.5215
230000,2.6505,442.50,0.5222,-1.3782,0.0498,0.4660
235000,2.6849,432.15,0.2003,-1.3484,0.0498,0.6150
240000,2.9556,373.45,0.2395,-1.4337,0.0498,0.4161
245000,1.0991,404.70,0.3121,-1.1906,0.0498,0.4416
250000,-1.4561,498.35,0.2605,-1.2901,0.0498,0.5971
255000,-1.9672,613.45,0.2966,-1.5663,0.0498,0.3923
260000,2.1810,442.55,0.3519,-1.4876,0.0498,0.5326
265000,1.1550,441.60,0.2458,-1.4527,0.0498,0.5443
270000,-1.9584,550.50,0.5942,-1.6110,0.0498,0.4950
275000,-3.5596,568.85,0.1994,-1.8053,0.0498,0.5280
280000,1.0007,387.70,0.1200,-1.3587,0.0498,0.4864
285000,4.1632,416.80,0.2006,-1.6657,0.0498,0.5161
290000,1.1056,626.05,0.2031,-1.3597,0.0498,0.5516
295000,-0.4963,541.05,0.3164,-1.6580,0.0498,0.5486
300000,-0.5266,517.75,0.1735,-1.9094,0.0498,0.6844
305000,-1.5776,422.60,0.3133,-1.4417,0.0498,0.3363
310000,-1.5560,502.20,0.3093,-1.8054,0.0498,0.5855
315000,-1.9845,600.45,0.2290,-1.4780,0.0498,0.5243
320000,-0.4274,569.00,0.5492,-1.8501,0.0498,0.4589
325000,1.6766,404.25,0.2196,-1.6640,0.0498,0.5387
330000,1.1286,367.35,0.5852,-1.6905,0.0498,0.5746
335000,-1.7637,491.10,0.2315,-1.2157,0.0498,0.5439
340000,-1.1906,539.65,0.3278,-1.7112,0.0498,0.6316
345000,-2.2089,554.70,0.3311,-1.6808,0.0498,0.5584
350000,-1.9355,576.35,0.4747,-1.8369,0.0498,0.4947
355000,-1.9262,612.65,0.5387,-1.2911,0.0498,0.5593
360000,-0.8713,603.55,0.4114,-1.8252,0.0498,0.5900
365000,-0.3576,645.15,0.8193,-1.9413,0.0498,0.5128
370000,1.0514,626.70,0.3944,-1.7332,0.0498,0.6306
375000,2.0732,424.05,0.2304,-1.5025,0.0498,0.6476
380000,0.1460,491.40,0.2445,-1.4764,0.0498,0.6569
385000,1.2135,556.80,0.3149,-1.7775,0.0498,0.3503
390000,2.7832,370.10,0.6730,-1.8459,0.0498,0.4668
395000,0.1269,442.55,0.2036,-1.5371,0.0498,0.5666
400000,-0.9839,460.75,0.2614,-1.6110,0.0498,0.6679
405000,0.0701,479.15,0.2554,-1.8336,0.0498,0.5748
410000,2.3150,431.70,0.1388,-1.7578,0.0498,0.5575
415000,1.7461,532.35,0.1313,-1.6333,0.0498,0.6513
420000,2.2161,499.35,0.4876,-1.6385,0.0498,0.5271
425000,1.1618,506.05,0.2385,-1.9914,0.0498,0.5144
430000,0.0244,646.20,0.2505,-2.2839,0.0498,0.5916
435000,-0.9896,523.60,0.2058,-1.2713,0.0498,0.5165
440000,-1.9575,531.55,0.4355,-1.8724,0.0498,0.6219
445000,-3.4708,566.95,0.5771,-1.8745,0.0498,0.5445
450000,-2.4450,568.60,0.5812,-1.7616,0.0498,0.7087
455000,-2.5058,515.85,0.2647,-1.8298,0.0498,0.6770
460000,-2.0153,594.80,0.2573,-2.1532,0.0498,0.5972
